Кодзима - ...?|гений
Какой город представляет футбольный клуб «Гонвед»?|будапешт
Какой город представляет футбольный клуб «Мохун Баган»?|калькутта
Какой город представляет футбольный клуб «Рома»?|керкраде
Какой город представляет футбольный клуб «Балтика»?|калининград
Какую общину в Исландии представляет футбольный клуб «Кефлавик»?|рейкьянесбайр
В футбольном чемпионате какой страны выступает команда «Вансдорф»?|чехия
В футбольном чемпионате какой страны выступает команда «Палестино»?|чили
В футбольном чемпионате какой страны выступает команда «Персипура»?|индонезия
И женское имя и футбольный клуб|виктория
И женское имя и футбольный клуб|лариса
Футбольный клуб Розарио ...?|сентраль
Футбольный клуб Сантос ...?|лагуна
Футбольный клуб Крус ...?|асуль
Футбольный клуб Славен ...?|белупо
Футбольный клуб Лейтон ...?|ориент
Футбольный клуб Бристоль ...?|роверс
Футбольный клуб Кайзер ...?|чифс
Футбольный клуб Ваасланд-...?|беверен
Английский «держатель цели» – это… Кто?|голкипер
Как называют и гимнастический снаряд, и верхнюю часть футбольных ворот?|перекладина
Какого цвета, согласно футбольным правилам, должна быть перекладина для ворот?|белая
Как называется место соединения перекладины и штанги футбольных ворот?|крестовина
Этот удар ввели в правила футбола в 1872 году. Какой?|угловой
Какой атрибут всем знакомых футбольных ворот впервые появился в 1875 году?
Какую, как правило, невидимую, но весьма полезную часть экипировки футболиста в позапрошлом веке изобрёл англичанин Уиддоусон?|щитки
Ныне форма вратаря по цвету обязана отличаться от формы его товарищей по команде. А до 1913 года вратаря отличала лишь эта деталь одежды. Какая?|кепка
Впервые они появились на майках футболистов 29 апреля 1933 года. Играли «Эвертон» и «Манчестер Сити». О чём речь?|номера
Болельщики какой футбольной команды свой сайт в Интернете назвали «bronepoezd.ru»?|локомотив
Про какое европейское государство шутят, что там скоро запретят футбол, потому что мяч во время матчей залетает то во Францию, то в Италию?|монако
Назовите первый чисто футбольный стадион в Москве.|локомотив
Рекорд этого форварда – 302 гола за карьеру – пока не побит ни в России, ни в бывших республиках СССР. Назовите его.|олег блохин
Какой футболист, по мнению своих болельщиков, лучше всех «от Москвы до Гималаев»?|ринат дасаев
Назовите известного в Дании футболиста, создателя теории атома и его ядра.|нильс бор
Какого выдающегося футболиста родом из Мозамбика называли Чёрным Квадратом?|эйсебио
Бывший футболист, ныне певец, отец певцов. Кто это?|хулио иглесиас
